Metric,Value (2023),Value (2022),Value (2021)
Total Revenue,"211,915,000","198,270,000","168,088,000"
Cost of Revenue,"65,863,000","62,650,000","52,232,000"
Gross Profit,"146,052,000","135,620,000","115,856,000"
Operating Income,"88,523,000","83,383,000","69,916,000"
Net Income,"72,361,000","72,738,000","61,271,000"
Basic EPS,9.72,9.7,8.12
Total Assets,"411,976,000","364,840,000","333,779,000"
Total Liabilities,"205,753,000","198,298,000","191,791,000"
Total Equity,"206,223,000","166,542,000","141,988,000"
Free Cash Flow,"59,475,000","65,149,000","56,118,000"
P/E Ratio (Approx),35.5,28.2,33.1
Debt to Equity,0.29,0.35,0.48
Return on Equity (ROE),35.09%,43.68%,43.15%
